"", "X"
"1", "abandonado"
"2", "abandono"
"3", "abandonar"
"4", "abase"
"5", "abasement"
"6", "abash"
"7", "diminuir"
"8", "abdica"
"9", "aberração"
"10", "aberração"
"11", "abominar"
"12", "abominar"
"13", "abominável"
"14", "aborrecimento"
"15", "abominável"
"16", "abominável"
"17", "abomina"
"18", "abomina"
"19", "abidance"
"20", "abidance"
"21", "cumprir"
"22", "abjeto"
"23", "abjeto"
"24", "abjure"
"25", "habilidades"
"26", "capacidade"
"27", "capaz"
"28", "anormal"
"29", "abolir"
"30", "abominável"
"31", "abominável"
"32", "abominar"
"33", "abominação"
"34", "acima"
"35", "acima da média"
"36", "abundam"
"37", "abrade"
"38", "abrasivo"
"39", "abrupto"
"40", "fuga"
"41", "ausência"
"42", "ausente"
"43", "distraído"
"44", "absolver"
"45", "absoluto"
"46", "absolutamente"
"47", "absorvido"
"48", "absurdo"
"49", "absurdo"
"50", "absurdamente"
"51", "absurdo"
"52", "abundante"
"53", "abundância"
"54", "abuso"
"55", "abuso"
"56", "abuso"
"57", "abusos"
"58", "abusos"
"59", "abusivo"
"60", "abismal"
"61", "abismalmente"
"62", "abismo"
"63", "aceder"
"64", "acentuar"
"65", "aceitar"
"66", "aceitação"
"67", "aceitável"
"68", "acessível"
"69", "acidental"
"70", "aclamação"
"71", "aclamação"
"72", "aclamado"
"73", "aclamação"
"74", "accolade"
"75", "elogios"
"76", "acomodativo"
"77", "realizar"
"78", "realizacao"
"79", "realizações"
"80", "acordo"
"81", "acordo"
"82", "em conformidade"
"83", "accost"
"84", "responsável"
"85", "preciso"
"86", "com precisão"
"87", "amaldiçoado"
"88", "acusação"
"89", "acusação"
"90", "acusações"
"91", "acusações"
"92", "acusar"
"93", "acusa"
"94", "acusando"
"95", "acusadoramente"
"96", "acerbate"
"97", "acerbic"
"98", "acerbicamente"
"99", "ache"
"100", "realizável"
"101", "alcançar"
"102", "realização"
"103", "realizações"
"104", "reconhecer"
"105", "reconhecimento"
"106", "absolver"
"107", "acre"
"108", "acremente"
"109", "acre"
"110", "acrimonioso"
"111", "acrimoniously"
"112", "acrimony"
"113", "activo"
"114", "ativista"
"115", "ativista"
"116", "real"
"117", "realidade"
"118", "na verdade"
"119", "perspicácia"
"120", "inflexível"
"121", "inflexível"
"122", "adaptável"
"123", "adaptabilidade"
"124", "adaptável"
"125", "viciado"
"126", "vício"
"127", "adepto"
"128", "habilmente"
"129", "adequado"
"130", "adesão"
"131", "aderente"
"132", "adesão"
"133", "admirável"
"134", "admirador"
"135", "admirável"
"136", "admiravelmente"
"137", "admiração"
"138", "admirar"
"139", "admirando"
"140", "admirando"
"141", "admissão"
"142", "admissão"
"143", "admitir"
"144", "reconhecidamente"
"145", "admoestar"
"146", "admonisher"
"147", "admonishingly"
"148", "admoestação"
"149", "admoestação"
"150", "adolescentes"
"151", "adolescentes"
"152", "adorável"
"153", "adorar"
"154", "adorado"
"155", "adorador"
"156", "adorador"
"157", "adorando"
"158", "adorando"
"159", "à deriva"
"160", "habilidoso"
"161", "habilmente"
"162", "adular"
"163", "adulação"
"164", "adulatório"
"165", "adulterar"
"166", "adulterado"
"167", "adulteração"
"168", "avançada"
"169", "vantagem"
"170", "vantagem"
"171", "vantajoso"
"172", "vantagens"
"173", "vantagens"
"174", "aventura"
"175", "aventura"
"176", "aventureiro"
"177", "aventura"
"178", "aventura"
"179", "adversário"
"180", "adversário"
"181", "adverso"
"182", "adversidade"
"183", "conselho"
"184", "conselho"
"185", "aconselhável"
"186", "advogado"
"187", "advocacia"
"188", "afável"
"189", "afabilidade"
"190", "afável"
"191", "afetar"
"192", "afetação"
"193", "afetado"
"194", "afeição"
"195", "afeto"
"196", "afetuoso"
"197", "afinidade"
"198", "afirmar"
"199", "afirmação"
"200", "afirmação"
"201", "afirmativo"
"202", "afligir"
"203", "aflição"
"204", "afflictive"
"205", "afluente"
"206", "afluência"
"207", "pagar"
"208", "acessível"
"209", "afronta"
"210", "afronta"
"211", "flutuante"
"212", "medo"
"213", "contra"
"214", "agravar"
"215", "agravante"
"216", "agravamento"
"217", "agressividade"
"218", "agressão"
"219", "agressivo"
"220", "agressividade"
"221", "agressor"
"222", "aggrieve"
"223", "agravado"
"224", "horrorizado"
"225", "ágil"
"226", "ágilmente"
"227", "agilidade"
"228", "agitar"
"229", "agitado"
"230", "agitação"
"231", "agitador"
"232", "agonias"
"233", "agonizar"
"234", "agonizando"
"235", "agonizante"
"236", "agonizingly"
"237", "agonia"
"238", "concordar"
"239", "conforto"
"240", "agradável"
"241", "agradável"
"242", "agradável"
"243", "agradável"
Palavras-chave "244"
"245", "acordo"
"246", "aha"
"247", "ail"
"248", "ail"
